idx,DOI,title,appropriate,reason,format,battery_system,cathode_material,anode_material,electrolyte_confirmed,additive_full_name,additive_abbr_name,boron_additive_full_name,boron_additive_abbr_name,abstract,year
125,10.1016/j.jpowsour.2017.4.094,10.1016/j.jpowsour.2017.4.094,Yes,Reasonable,Coin,Li-ion battery,Li1.17Ni0.17Mn0.5Co0.17O2 (Li-rich cathode),Graphite,1.3 M LiPF6 in EC/EMC/DMC (3:4:3 vol ratio) with 1 wt% LiDFOB,Lithium Difluoro(oxalato)borate,LiDFOB,Lithium Difluoro(oxalato)borate,LiDFOB,[],2017
126,10.1016/S1003-6326(21)65588-7,Mechanism of aluminum corrosion in LiFSI-based electrolyte at elevated temperatures,Yes,Reasonable,Coin,Li-ion battery,LiFePO4,Graphite,1 mol/L LiFSI in EC/DEC/EMC (1:1:1 volume ratio) or 0.6 mol/L LiFSI and 0.4 mol/L LiBOB in EC/DEC/EMC (1:1:1 volume ratio),Lithium bis(oxalate)borate (LiBOB),LiBOB,Lithium bis(oxalate)borate,LiBOB,"['Lithium bis(fluorosulfonyl)imide (LiFSI) is a promising replacement for lithium hexafluorosphate due to its excellent properties. A solution to the corrosion of aluminum (Al) current collectors by LiFSI at elevated temperatures is essential. The mechanisms of Al corrosion in LiFSI-based electrolyte at 45 degrees C were studied with density functional theory calculations and spectroscopic investigations. It is found that the irregular, loose and unprotected AlF3 materials caused by the dissolution of co-generated Al(FSI)(3) can exacerbate Al corrosion with the increase of temperature. Lithium bis(oxalate)borate (LiBOB) can effectively inhibit the Al corrosion with a robust and protective interphase; this can be attributed to the interfacial interactions between the Al foil and electrolyte. Boron-containing compounds promote the change from AlF3 to LiF, which further reinforces interfacial stability. This work allows the design of an interface to Al foil using LiFSI salt in lithium-ion batteries.']",2021
127,10.1016/j.nanoen.2025.111083,Construction of high-throughput interface phase using boron containing anions to regulate solvation structure and achieve high-performance sodium metal batteries,Yes,Reasonable,Not found,Sodium metal batteries,NaNi0.33Fe0.33Mn0.33O2 (NFM111),Sodium metal,1 mol NaPF6 in a 1:4 volume ratio of propylene carbonate (PC) and ethyl methyl carbonate (EMC) with 2 wt% fluorinated ethylene carbonate (FEC),Sodium difluorooxalate borate (NaDFOB),NaDFOB,Sodium difluorooxalate borate,NaDFOB,"['The commercialization of sodium metal batteries (SMBs) remains challenging due to the instability of the solid electrolyte interphase (SEI) and cathode electrolyte interphase (CEI), resulting in rapid capacity degradation under harsh cycling conditions. In this paper, a novel electrolyte additive, sodium difluoro-oxalate borate (NaDFOB), was developed to address these challenges. NaDFOB effectively improved the stability of the SEI/CEI by forming a solid electrolyte interphase enriched in NaF and B2O3. This modification was shown to significantly inhibit cathodic transition metal leaching and anodic sodium dendrite growth. The capacity retention of Hard Carbon (HC) || NaNi0.33Fe0.33Mn0.33O2 (NFM) cylindrical battery containing BE-NaDFOB electrolyte was94.1 % after 1000 cycles of charging and discharging at 0.5 C. The electrolyte with BE-NaDFOB electrolyte is capable of stable operation at -40 degrees C similar to 60 degrees C in Na || NFM batteries. This work explained the effect of the introduction of the additive NaDFOB on the solvation structure of the bulk electrolyte, the decomposition mechanism of NaDFOB that formed a uniform solid electrolyte interface film (CEI/SEI) on the surface of the anode and cathode, and the rapid desolvation of sodium ions. The rapid desolvation of sodium ions contributed to the formation of a high-flux SEI (Refers to the movement and distribution of sodium ions at the solid-state incremental electrolyte (SEI) during deposition or stripping).']",0
128,10.1111/jace.12094,"Crystallization Kinetics of Superionic Conductive Al(B, La)- Incorporated LiTi2(PO4)3 Glass-Ceramics",No,"Electrolyte and additive information not provided, so cannot determine appropriateness.",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['For the purpose of developing high-performance glass-ceramic superionic conductor, the controllable precipitation of LiTi2(PO4)(3)-like superionic conducting phase in the Li2OTiO2P2O5 glass system was studied. Al with B or La co-incorporated LiTi2(PO4)(3)-based glass-ceramics were prepared by the crystallization of the corresponding original glasses. Compared with the sole Al-incorporated LiTi2(PO4)(3)-based glass-ceramics, the ionic conductivity shows an increase for the boron co-incorporated one and a decrease for the lanthanum co-incorporated one. Through the further in-depth analysis based on the methods of DSC and X-ray diffractive technique, this opposite change in ion conductivity was ascribed to the alterations of crystallization mechanism together with quantity of crystal phases within the glass-ceramics.. The boron addition promoted the precipitation of LiTi2(PO4)(3) phase and restrained the precipitation of second phase. The highest ionic conductivity 1.3x10(3) S/cm at 25 degrees C was obtained through the heat treatment of B and Al co-incorporated glassy samples at 900 degrees C for 12h. These inorganic solid electrolytes have a potential application in lithium batteries or other electrochemical ionic devices.']",2013
129,10.1016/j.elecom.2008.05.043,New electrolytes using Li2O or Li2O2 oxides and tris(pentafluorophenyl) borane as boron based anion receptor for lithium batteries,Yes,Reasonable,Swagelock-type,Li-ion battery,LiMn2O4,Lithium foil,0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume) or similar compositions,tris(pentafluorophenyl) borane (TPFPB),TPFPB,tris(pentafluorophenyl) borane,TPFPB,"['A new system of electrolytes has been developed and studied for lithium-ion batteries. This new system is based on the interactions between Li2O or Li2O2 and tris(pentafluorophenyl) borane (TPFPB) in carbonate based organic solvents. This opens up a completely new approach in developing non-aqueous electrolytes. In general, the solubility of Li2O or Li2O2 is very low in organic solvents and the ionic conductivities of these solutions are almost undetectable. By adding certain amount of tris(pentafluorophenyl) borane (TPFPB), one type of boron based anion receptors (BBARs), the solubility of Li2O or Li2O2 in carbonate based solvents was significantly enhanced. In addition, the Li+ transference numbers of these new electrolytes measured were as high as 0.7, which are more than 100% higher than the values for the conventional electrolytes for lithium-ion batteries. The room-temperature conductivities are around 1 X 10(-3) S/cm. These new electrolytes are compatible with LiMn2O4 cathode for lithium-ion batteries. (C) 2008 Elsevier B.V. All rights reserved.']",2008
130,10.1002/celc.201901916,Magnesium Borate Fiber Coating Separators with High Lithium-Ion Transference Number for Lithium-Ion Batteries,Not found,Not found,Coin,Li-ion battery,LiFePO4,Graphite,1M LiPF6 dissolved in 1:1 (v/v) mixture of ethylene carbonate (EC) and diethyl carbonate (DEC),Not found,Not found,Not found,Not found,"['In this work, magnesium borate fiber (MBO) is used as a functional ceramic to coat onto a polypropylene (PP) separator (MBO@PP). This MBO coating layer increases the lithium-ion transference number (t(Li+)) from 0.24 to 0.57 in the LiPF6-based electrolyte due to the MBO acting as Lewis acid sites interacts with Lewis base PF6- . The increase in the t(Li+) reduces the concentration polarization and promotes the migration of lithium ions. Besides, the prepared MBO@PP separator has better wettability with liquid electrolyte, the electrolyte uptake as well as thermal stability. The LiFePO4 half-coin with MBO@PP separator not only had better cycle stability, but also had a higher capacity retention rate at high current.']",0
131,10.1016/j.memsci.2020.118921,"Fire-retardant sp3 boron-based single ion conducting polymer electrolyte for safe, high efficiency and dendrite-free Li-metal batteries",No,No additive information provided to assess appropriateness.,Not found,Li-metal battery,LiFePO4 (LFP),Lithium metal,po-PBSB membrane comprising Li-PSB and PBI binder,Not found,Not found,Not found,Not found,"[""Single lithium ion conducting polymer electrolytes (SIPEs) are an emerging class of alternative polymer electrolytes for protecting lithium metal anode. This work explores a fully aromatic sp(3) boron based SIPE, lithium poly (4,4'-dihydroxydiphenyl sulfone borate), Li-PSB, via a one-step synthetic procedure. A series of highly porous SIPE membranes, defined as po-PB SBs, comprising of Li-PSB and a fully aromatic polybenzimidazole (PBI) binder are firstly prepared. As a polymer electrolyte, po-PBSB exhibits high lithium ion transference number of close to unity, high ionic conductivity, excellent thermal dimensional stability and promising flame-retardant. Xray Photoelectron Spectroscopy (XPS) and Density Functional Theory (DFT) calculations depict multi-coordinated lithium ion transport channels in the po-PBSB membranes. By serving as polymer electrolyte in lithium metal batteries (LMBs), Li/LiFePO4 (LFP) cell, the po-PBSB shows an effective suppression of lithium dendrite growth. As a consequence, po-PBSB based Li/LFP cell demonstrates superior cycling performance remaining 76.1% of its initial capacity with nearly 100% coulombic efficiency at 1.0C after 200 cycles. The excellent performance may be ascribed to the remarkable lithium ion transference number, high organic solvent absorption in pores and thermal and electrochemical stabilities of the po-PBSB. We believe that the novel SIPE materials have great potential for application in high-safety LMBs.""]",2020
132,10.1016/j.ssi.2019.05.020,New lithium-conducting nitride glass Li3BN2,No,Additive not found in the provided information.,Not found,Li-ion battery,Not found,Not found,Li3BN2 glass,Not found,Not found,Not found,Not found,"[""Novel nitride glass electrolyte Li3BN2 was prepared from Li3N and BN via a mechanochemical process using planetary ball milling. Raman and X-ray photoelectron spectroscopies revealed that the glass was composed of Li+ and BN23- ions. The Li3BN2 glass exhibited good ductility, and the powder-compressed pellet showed a relative density of 84%. The hot-pressed pellet of the Li3BN2 glass showed a conductivity of 1.3 x 10(-5) S cm(-1) at 25 degrees C, which is much higher than that of oxide-based glass electrolytes such as Li3BO3 glass and LiPON thin films. Moreover, Young's modulus of the Li3BN2 glass was 51.1 GPa, which is an intermediate value between sulfides and oxides. The Li symmetric cell using the Li3BN2 glass electrolyte was cycled stably at 100 degrees C without short-circuiting. Nitride glassy materials are promising electrolytes for all-solid-state batteries because of their high conductivity, good mechanical properties, and electrochemical stability.""]",2019
133,10.1149/1.1536475,The compatibility of a boron-based anion receptor with the carbon anode in lithium-ion batteries,Yes,Reasonable,Coin,Li-ion battery,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,Tris(pentafluorophenyl)borane (TPFPB),TPFPB,Tris(pentafluorophenyl)borane,TPFPB,"['The electrochemical stability of the boron anion receptor, tris(pentafluorophenyl) borane (TPFPB), on a carbonaceous mesocarbon microbeads (MCMB) electrode and its compatibility with the passivated solid electrolyte interphase (SEI) layer on the carbon anode were investigated. Comparison of the irreversible capacity loss of the MCMB electrode during initial galvanostatic cycling using electrolyte with and without the TPFPB additive indicates excellent electrochemical stability of TPFPB on the carbonaceous electrode. Cyclic voltammetry studies show that the SEI layer on the surface of the carbon electrode can be formed through the decomposition of ethylene carbonate in the presence of TPFPB. Prolonged cycling test verifies the long-term stability of the SEI layer on carbon in the presence of the TPFPB additive. The SEI layer is not dissolved by TPFPB even after heat-treatment under conditions which dissolve LiF salt. This suggested a cross-linked structure for the SEI layer on carbon electrode. A Li-ion cell using an electrolyte containing TPFPB displays better cycling performance than a cell without TPFPB under the same conditions. (C) 2003 The Electrochemical Society.']",2003
134,10.5796/electrochemistry.19-00022,Hard X-ray Photoelectron Spectroscopy Analysis of Surface Chemistry of Spray Pyrolyzed LiNi0.5Co0.2Mn0.3O2 Positive Electrode Coated with Lithium Boron Oxide,Not found,Not found,Coin,Li-ion battery,LiNi0.5Co0.2Mn0.3O2 (NCM523),Graphite,Not found,Not found,Not found,Not found,Not found,"['It is known that the deterioration of LiNi0.5Co0.2Mn0.3O2 is suppressed by inhibiting direct contact between the cathodes and the electrolyte by surface coating. In order to evaluate the influence of the electrode/electrolyte interface degradation, it is necessary to eliminate the influence of particle cracking. In this study, LiNi0.5Co0.2Mn0.3O2 particles with a small size (500 nm to 1 mu m) without crack formation after charge-discharge cycling were synthesized by a spray pyrolysis method. Hard X-ray photoelectron spectroscopy was used to investigate the structural changes of the cathode. It was revealed that the cathode coated with lithium boron oxide (LBO) by an antisolvent precipitation method had high durability against the surface structure changes by the reduction of transition metal ions. The formation and dissolution of NiO occurred in the uncoated sample during cycling, but the formation of NiO was suppressed in the LBO-coated sample. It was considered that the structural changes of the active material surface during cycling led to an increase in surface resistance of the uncoated sample, which is the main reason for the capacity fading of the spray pyrolyzed LiNi0.5Co0.2Mn0.3O2 cathode particles. (C) The Electrochemical Society of Japan, All rights reserved.']",2019
135,10.1021/acs.chemmater.6b04784,A New Anion Receptor for Improving the Interface between Lithium- and Manganese-Rich Layered Oxide Cathode and the Electrolyte,Yes,Reasonable,Coin,Li-ion battery,Li1.16Ni0.2Co0.1Mn0.54O2,Lithium metal,1.0 M LiPF6 in EC/DMC (1:2 volume ratio) with 0.5 wt.% TTFEB,"Tris(2,2,2-trifluoroethyl) borate",TTFEB,"Tris(2,2,2-trifluoroethyl) borate",TTFEB,"['Surface degradation on cycled lithium-ion battery cathode particles is governed not only by intrinsic thermodynamic properties of the material but also, oftentimes more predominantly, by the side reactions with the electrolytic solution. A superior electrolyte inhibits these undesired side reactions on the cathode and at the electrolyte interface, which consequently minimizes the deterioration of the cathode surface. The present study investigates a new boron-based anion receptor, tris(2,2,2-trifluoroethyl)-borate (TTFEB), as an electrolyte additive in cells containing a lithium- and manganese-rich layered oxide cathode, Li1.16Ni0.2Co0.1Mn0.54O2. Our electrochemical studies demonstrate that the cycling performance and Coulombic efficiency are significantly improved because of the additive, in particular, under elevated temperature conditions. Spectroscopic analyses revealed that the addition of 0.5 wt % TTFEB is capable of reducing the content of lithium-containing inorganic species within the cathode-electrolyte interphase layer and minimizing the reduction of tetravalent Mn4+ at the cathode surface. Our work introduces a novel additive highly effective in improving lithium-ion battery performance, highlights the importance in preserving the surface properties of cathode materials, and provides new insights on the working mechanism of electrolyte additives.']",2017
136,10.1016/j.electacta.2015.02.214,Enhanced ionic conductivity in borate ester plasticized Polyacrylonitrile electrolytes for lithium battery application,Yes,Reasonable,Not found,Li-ion battery,Not found,Not found,"PAN-based with LiCF3SO3 or LiBF4, and plasticizers like PEGB or EC/PC",Poly(ethylene glycol) borate ester (PEGB),PEGB,Poly(ethylene glycol) borate ester (PEGB),PEGB,"['The effect of low molecular weight borate ester on the ionic conductivity of polyacrylonitrile (PAN) was systematically investigated by means of measuring conductivity using the impedance technique. Gel polymer electrolyte (SPE) films consisting of PAN as host polymer, LiCF3SO3 and LiBF4 as ionic salts, and poly (ethylene glycol) borate ester (PEGB), ethylene carbonate/propylene carbonate (EC/PC) as plasticizers were prepared by physical blending method. All measurements were performed on electrolyte samples with various contents. Fourier transform infrared spectroscopy (FT-IR) gave evidence of the interactions among PAN, plasticizers and lithium salt. The surface morphology of the electrolytes was investigated by scanning electron microscopy (SEM). Thermal properties of these materials were searched with thermogravimetric analysis (TGA) and differential scanning calorimetry (DSC). Conductivity studies of these blend polymer electrolytes were carried out in the temperature range 20-100 degrees C. The maximum ionic conductivity values of 1.8 x 10 (3) and 1.4 x 10 (4) S cm (1) were measured for the film containing 4PAN-10EC/PC-4LiBF(4) and 4PAN-10PEGB-4LiCF(3)SO(3), respectively, at room temperature. These films have a good conductivity, better dimensional stability and wide electrochemical stability window. These unique properties make the composite gel membranes suitable for application as electrolyte in rechargeable Li-ion batteries. (C) 2015 Elsevier Ltd. All rights reserved.']",2015
137,10.1021/acsaem.1c01724,Fabrication of Borate-Based Porous Polymer Electrolytes Containing Cyclic Carbonate for High-Performance Lithium Metal Batteries,No,"Additive is not found, so it cannot be determined if it is appropriate for the battery's electrolyte requirements.",Coin,Lithium metal batteries (LMBs),LiFePO4,Lithium metal,Not found,Not found,Not found,Not found,Not found,"['A series of borate-based porous polymer electrolytes (B-PPEs) is prepared by incorporating the copolymers containing cyclic boroxine and cyclic carbonate groups into poly(vinylidene fluoride) (PVDF) through the phase inversion method. The dense and well-interconnected pores are obtained in the polymer matrix when the content of the copolymer reached 40 wt %. The ethylene-oxygen chain segments in the copolymer can facilitate the mobility of polymer chains and form the uniform distribution of pores in the B-PPEs. The B-PPEs show an enhanced ionic conductivity of 1.32 x 10(-3) S cm(-1) at 30 degrees C, which is due to the uniform well-interconnected pores in the polymer host. The cyclic carbonate units interact with the liquid electrolyte, which could improve the electrolyte uptake capacity of the polymer matrix. Benefited from the Lewis acid-base interactions between boron moieties and the anions of the lithium salt, the lithium-ion transference number of B-PPEs is also significantly improved. Compared to the pure PVDF-based electrolyte, the Li/B-PPEs/Li cell displays a very stable polarization voltage and the long-time cycling for 1000 h at a current density of 0.2 mA cm(-2). Moreover, the Li/B-PPEs/LiFePO4 cells deliver a higher capacity of 143.0 mAh g(-1) at 0.2 C and 86% capacity retention after 150 cycles. The B-PPEs could be a promising candidate for enhancing the safety and electrochemical properties of lithium metal batteries.']",2021
138,10.1016/j.carbon.2019.04.077,BC2N monolayers as promising anchoring materials for lithium-sulfur batteries: First-principles insights,No,Not found,Not found,Lithium-sulfur battery,"Sulfur-based (implied, not explicitly stated)","Lithium (implied, not explicitly stated)",Not found,Not found,Not found,Not found,Not found,"['One of the major challenging issues in lithium-sulfur (Li-S) batteries is that the lithium polysulfides easily dissolve in the electrolyte and shuttle between anode and cathode. To overcome this problem, an ideal anchoring materials is urgent. In the current work, we explore the potential application of BC2N allotropes (approximated by Type-I and Type-II structures) as anchoring materials for Li-S batteries by using first-principles method with van der Waals interaction. Type-I is a direct-bandgap semiconductor, while type-II is semi-metallic due to inversion symmetry of its structure. They show remarkable but not too strong chemical interaction with S-8 and Li2Sx clusters and enhanced electrical conductivity. In addition, the introduction of dopants and defects result in semiconductor-to-metal transition on type-I BC2N, and enhancement of binding energies and still keep intact Li2Sx clusters. Our findings demonstrate that defective and doped BC2N monolayers are promising anchoring materials for Li-S batteries. (C) 2019 Elsevier Ltd. All rights reserved.']",2019
139,10.1149/1.1496535,"Lithium tris[3-fluoro-1,2-benzenediolato(2-)-O,O′]phosphate as a novel lithium salt for lithium battery electrolytes",Yes,Reasonable,Coin,Li-ion battery,Not found,Lithium metal,0.5 mol dm⁻³ 3-FLTBP or mixtures with LiPF₆ in EC-DMC (mole ratio 1:1),"Lithium tris[3-fluoro-1,2-benzenediolato(2-)-O,O']phosphate (3-FLTBP)",3-FLTBP,Not found,Not found,"[""We have synthesized a novel lithium salt with a chelate compound of phosphorus, lithium tris[3-fluoro-1,2-benzenediolato(2-)-O,O']phosphate (3-FLTBP). The thermal stability and electrolytic properties of 3-FLTBP, and the coulombic efficiency of the deposition/dissolution cycling for a lithium metal (lithium electrode cycling efficiency! are investigated. 3-FLTBP is more thermally stable than lithium tris[1,2-benzenediolato(2-)-O,O']phosphate (LTBP) and lithium tris[4-methyl-1,2-benzenediolato(2-)O, O']phosphate (4-MLTBP), which we previously synthesized. The electrochemical stability in propylene carbonate solutions and the specific conductivities in ethylene carbonate-dimethyl carbonate (mole ratio 1: 1) binary solutions decrease in the following ascending order: 3-FLTBP, LTBP, and 4-MLTBP. The mixing of the lithium organophosphate and LiPF6 enhances the cycling efficiency over the range of high cycle numbers. (C) 2002 The Electrochemical Society.""]",2002
140,10.1016/j.electacta.2009.09.062,The effect of B4C addition to MnO2 in a cathode material for battery applications,No,"Boron carbide (B4C) is not a typical or reasonable additive for aqueous electrolytes like LiOH/ZnSO4 or KOH, as it is insoluble and may not provide beneficial effects such as SEI formation or conductivity improvement; it could lead to precipitation or incompatibility issues.",Coin,Zn-MnO2 battery,MnO2 with B4C additive,Zinc,Not found,Not found,Not found,Not found,Not found,"['Boron carbide (B4C) added manganese dioxide (MnO2) used as a cathode material for a Zn-MnO2 battery using aqueous lithium hydroxide (LiOH) as the electrolyte is known to have higher discharge capacity but with a lower average discharge voltage than pure MnO2 (additive free). The performance is reversed when using potassium hydroxide (KOH) as the electrolyte. Herein, the MnO2 was mixed with 0, 5,7 and 10 wt.% of boron carbide during the electrode preparation. The discharge performance of the Zn vertical bar LiOH vertical bar MnO2 battery was improved by the addition of 5-7 wt.% boron carbide in MnO2 cathode as compared with the pure MnO2. However, increasing the additive to 10 wt.% causes a decrease in the discharge capacity. The performance of the Zn vertical bar KOH vertical bar MnO2 battery was retarded by the boron carbide additive. Transmission electron microscopy (TEM), and energy dispersive X-ray spectroscopy analysis (EDS) results show evidence of crystalline MnO2 particles during discharging in LiOH electrolyte, whereas, manganese oxide particles with different oxygen and manganese counts leading to mixture of phases is observed for KOH electrolyte which is in agreement with X-ray diffraction (XRD) data. The enhanced discharge capacity indicates that boron atoms promote lithium intercalation during the electrochemical process and improved the performance of the Zn vertical bar LiOH vertical bar MnO2 battery. This observed improvement may be a consequence of B4C suppressing the formation of undesirable Mn(III) phases, which in turn leads to enhanced lithium intercalation. Too much boron carbide hinders the charge carrier which inhibits the discharge capacity. (C) 2009 Elsevier Ltd. All rights reserved.']",2009
141,10.1039/c8ta10786f,Enhanced cycling stability of boron-doped lithium-rich layered oxide cathode materials by suppressing transition metal migration,No,Additive not found in the provided information.,Coin,Li-ion battery,Li1.2Ni0.13Co0.13Mn0.54O2 (LLO) and boron-doped variants,"Graphite (in half-cell tests), SnO2@rGO (in full-cell tests)",1 M LiPF6 in ethylene carbonate (EC): dimethyl carbonate (DMC): diethyl carbonate (DEC) (1:1:1 vol%),Not found,Not found,Not found,Not found,"['Lithium-rich layered oxide (LLO) has been considered as an attractive candidate due to its high capacitive performance. However, its practical applications are hindered by voltage/capacity fading, low initial coulombic efficiency, and non-negligible Mn2+ dissolution. Herein, we have prepared boron-doped LLO (LLO@LBO) with excellent cycle/voltage retention and improved initial coulombic efficiency by a facile synthesis process. First-principles calculations and ex situ XRD have clarified that the incorporation of boron atoms in the tetrahedral interstices can effectively impede the migration channel of the transition metal ions. The strong B-O bonds can enhance the structural stability of LLO@LBO. Furthermore, the boron doping technique can suppress Mn2+ dissolution in LLO@LBO during cycling and improve the life time of the cathode and anode electrodes simultaneously. In the lithium ion battery cathode tests, the LLO@LBO delivers a reversible capacity of 293.9 mA h g(-1) with a capacity retention of 89.5% at 0.5C after 100 cycles. The full cell test shows an initial energy density of 472.1 W h kg(-1) with excellent energy retention of 84.1% after 150 cycles.']",2019
142,10.1021/jp303691m,"Ether Based Electrolyte, LiB(CN)4 Salt and Binder Degradation in the Li-O2 Battery Studied by Hard X-ray Photoelectron Spectroscopy (HAXPES)",No,"Additive is not found, so it cannot be evaluated for appropriateness.",Coin,Li-O2 battery,Carbon with α-MnO2 catalyst,Lithium foil,Not found,Not found,Not found,Not found,Not found,"['Li-O-2 cells composed of a carbon cathode containing an alpha-MnO2 nanowire catalyst and a Kynar (PVDF-HFP) binder were cycled with different electrolytes containing 0.5 M LiB(CN)(4) salt in polyethylene glycol dimethyl ether (PEGDME) or tetraethylene glycol dimethyl ether (Tetraglyme) solvents. All cells exhibited fast capacity fading. To explain this, the surface chemistry of the carbon electrodes were investigated by synchrotron based hard X-ray photoelectron spectroscopy (HAXPES) using two photon energies of 2300 and 6900 eV. It is shown that the LiB(CN)(4) salt and Kynar binder were degraded during cycling, forming a layer composed of salt and binder residues on the cathode surface. The degradation mechanism of the salt differed in the two tested solvents and, consequently, different types of boron compounds were formed during cycling. Larger amounts of the degraded salt was observed using Tetraglyme as the solvent. With a nonfluorined Li-salt, the observed formation of LiF, which might be a reason for the observed blockage of pores in the cathode and for the observed capacity fading, must be due to Kynar binder decomposition. The amount of LiF formed in the PEGDME cell was larger than that formed in the Tetraglyme cell. The results indicate that not only the electrolyte solvent, but also electrolyte salt as well as the binder used for the porous cathode must be carefully considered when building a successful rechargeable Li-O-2 battery.']",2012
143,10.1016/j.electacta.2017.05.075,Improving the electrochemistry performance of layer LiNi0.5Mn0.3Co0.2O2 material at 4.5 V cutoff potential using lithium metaborate,Yes,Reasonable,Coin,Li-ion battery,LiNi0.5Mn0.3Co0.2O2 (NMC),Lithium metal,1M LiPF6 in EC/EMC/DMC (1:1:1 v:v:v),Lithium metaborate (LiBO2),LiBO2,Lithium metaborate,LiBO2,"['LiNi0.5Mn0.3Co0.2O2 (NMC) cathode material is surface treated by Li active boron oxide (LBO) via a two-step process. The surface morphology, crystal structure, surface composition, and electrochemical properties were characterized based on SEM, XRD, XPS, charge-discharge tests, cyclic voltammetry (CV), and electrochemical impedance spectroscopy (EIS) measurements. XPS results showed that the coating layer was composed of LiBO2. The 2 wt% LBO-coated NMC exhibited the best electrochemical performance at high voltage (4.5 V). It was achieved a high capacity retention of 91.23% after 50 cycle which was 53.19% for the uncoated one. The rate capability of the coated electrode was improved obviously, exhibiting 114.71 mAh.g(-1) discharge capacity at 10 C. The interfacial resistance and charge transfer resistance was also decreased owning to the fact that the coating layer played a firewall between the electrolyte and the NMC electrode. (C) 2017 Elsevier Ltd. All rights reserved.']",2017
144,10.1002/aenm.201801957,Extending the Service Life of High-Ni Layered Oxides by Tuning the Electrode-Electrolyte Interphase,Yes,Reasonable,Coin and pouch,Li-ion battery,LiNi0.94Co0.06O2,Graphite,1M LiPF6 in EC:DEC (1:1 by volume) with 1.5 wt% LiBOB additive,Lithium bis(oxalate) borate (LiBOB),LiBOB,Lithium bis(oxalate) borate,LiBOB,"['As a high-energy-density cathode for Li-ion batteries, high-Ni layered oxides, especially with ultrahigh Ni-content, suffer from short lifespans, due in part to their unstable electrode-electrolyte interphase (EEI). Herein, the cycle life of LiNi0.94Co0.06O2 is greatly extended by manipulating the EEI with a lithium bis(oxalate) (LiBOB) additive even when operated at a moderately high voltage (4.4 V vs Li/Li+). Impressively, the capacity retention can be increased from 61 to 80% after 500 cycles in a full cell paired with a graphite anode. Additionally, the presence of LiBOB enables a robust boron- and oxygen-enriched EEI that effectively inhibits continual electrolyte decomposition and offers a stable cathode surface. Moreover, the layered architecture of the cathode-electrolyte interphase (CEI) and the anode-electrolyte interphase (AEI) at the nanometer scale is revealed by time-of-flight secondary ion mass spectrometry. It is demonstrated that the cathode surface chemistry can significantly influence the AEI both chemically and physically, and AEI is modified from a thick three-layer to a thin two-layer architecture by tuning the cathode surface chemistry with LiBOB. This work presents a correlation between the EEI characteristics and battery performance and highlights the significance of manipulating surface chemistry in developing stable high-energy-density Li-ion batteries.']",2018
145,10.1002/aenm.201600218,Hexagonal Boron Nitride-Based Electrolyte Composite for Li-Ion Battery Operation from Room Temperature to 150 °C,Not found,Not found,Coin (inferred from experimental details),Li-ion battery,Li1+xMn2-xO4 (LMO) and Li4Ti5O12 (LTO) used in tests,"Graphite (inferred, but not explicitly stated; lithium metal and LTO used in half-cells)",Not found,Not found,Not found,Not found,Not found,"['Batteries for high temperature applications capable of withstanding over 60 degrees C are still dominated by primary cells. Conventional rechargeable energy storage technologies which have exceptional performance at ambient temperatures employ volatile electrolytes and soft separators, resulting in catastrophic failure under heat. A composite electrolyte/separator is reported that holds the key to extend the capability of Li-ion batteries to high temperatures. A stoichiometric mixture of hexagonal boron nitride, piperidinium-based ionic liquid, and a lithium salt is formulated, with ionic conductivity reaching 3 mS cm(-1), electrochemical stability up to 5 V and extended thermal stability. The composite is used in combination with conventional electrodes and demonstrates to be stable for over 600 cycles at 120 degrees C, with a total capacity fade of less than 3%. The ease of formulation along with superior thermal and electrochemical stability of this system extends the use of Li-ion chemistries to applications beyond consumer electronics and electric vehicles.']",2016
146,10.1038/srep22048,High rate lithium-sulfur battery enabled by sandwiched single ion conducting polymer electrolyte,Not found,Not found,Coin,Lithium-sulfur battery,Sulfur,Lithium metal,"1 M lithium trifluoromethanesulfonimide (LiTFSI) in dimethoxyethane (DME) and 1,3-dioxolane (DOL) (1:1, v:v)",Not found,Not found,Not found,Not found,"['Lithium-sulfur batteries are highly promising for electric energy storage with high energy density, abundant resources and low cost. However, the battery technologies have often suffered from a short cycle life and poor rate stability arising from the well-known polysulfide shuttle effect. Here, we report a novel cell design by sandwiching a sp(3) boron based single ion conducting polymer electrolyte film between two carbon films to fabricate a composite separator for lithium-sulfur batteries. The dense negative charges uniformly distributed in the electrolyte membrane inherently prohibit transport of polysulfide anions formed in the cathode inside the polymer matrix and effectively blocks polysulfide shuttling. A battery assembled with the composite separator exhibits a remarkably long cycle life at high charge/discharge rates.']",2016
