idx,additive,CEI,High_voltage_performance_CEI,SEI,Optimal_operating_temperature
74,BNNS,Not found,Not found,"The boron-containing additive BNNS and the in situ formed Li3N in the interface act synergistically to offer a stable solid electrolyte interphase (SEI), facilitating interfacial ion transport and suppressing dendrite formation, as mentioned in the context of improving interface compatibility and stability in solid-state lithium metal batteries.","Room temperature (implied from stable cycling performance at room temperature in the full cell tests, but no specific temperature value is provided; thus, 'Not found' for exact value, but context indicates room temperature operation)."
87,PFPBO,Not found,Not found,"PFPBO acts as an effective additive to form a stable SEI film on MCMB anode in PC-based electrolyte, similar to adding LiBOB in TPFPB-PC-based electrolytes, by promoting the formation of C=O rich compounds like Li2CO3 or Li2C2O4 through anion reduction decomposition, which suppresses side reactions and reduces interface impedance.",Not found
89,LiBOB,"The boron-containing additive LiBOB preferentially decomposes at the cathodic interface to form B-O oligomers, which could alleviate the volume expansion issues of cathode materials under high voltage, leading to a robust boron-rich cathode-electrolyte interphase (CEI).","The Li||LiCoO2 cells exhibit a superior capacity retention of ~82.32% under 4.5 V after 160 cycles, with an average Coulombic efficiency of ~99.9%.","The boron-containing additive LiBOB, in synergy with FEC and HFE, forms an elastic F- and B-O-rich anodic interfacial layer (SEI) that suppresses side reactions, reduces interface impedance, and enables homogeneous lithium deposition.",Not found
101,"TPFPB, THFPB",Not found,"The electrochemical window is approaching 5.0 V, and the electrolyte (TPL01) is stable up to 5.0 V, but no specific performance data such as capacity retention rates at high voltages are mentioned in the article.","The article states that the formation of a stable solid electrolyte interface (SEI) layer on the surface of the anode in this type of electrolyte needs to be studied further, and no stable SEI is formed on Cu or Ti electrodes to prevent further electrolyte decomposition. Additionally, for graphite anodes, PC co-intercalation occurs, and the electrolytes do not form an effective SEI to prevent this, leading to issues with anode compatibility.",Not found
109,LiDFOB,"The boron-containing additive LiDFOB, in combination with FEC and LiFSI, forms a thin, F,B-rich cathode electrolyte interface (CEI) that is more elastic and compact, effectively guarding the cathode against volume changes and sustained electrolyte decomposition, as detailed in the paper's discussion on the NMC532 cathode.","The Si/NMC532 full cell using the N-DHF electrolyte (which includes LiDFOB) showed a capacity retention of 88.4% after 60 cycles at unspecified voltage, but no specific high voltage value (e.g., 4.5V) was mentioned in the provided text. Therefore, based on the input, this information is not found.","The boron-containing additive LiDFOB, along with FEC and LiFSI, contributes to forming a high-modulus SEI rich in fluoride (F) and boron (B) species, which suppresses side reactions, reduces interface impedance, and accommodates volume changes of the Si anode, as evidenced by improved cycling performance and lower resistance.",Not found
113,SiO2@BNNS,Not found,Not found,Not found,Not found
120,LiPVAOB,Not found,Not found,"The article mentions that lithium chelatoborates, including the structurally similar LiBOB, can form an effective solid electrolyte interface (SEI) film to stabilize the graphitic anode structure, but it does not specifically address the interaction of LiPVAOB with the SEI film.","The article states that the lithium ion battery can still operate at 140°C with the PVDF-LiPVAOB GPE, but it does not specify an optimal operating temperature; it focuses on high-temperature safety rather than optimal performance."
125,LiBOB,Not found,Not found,"The SEI formed on the LiFSI0.6−LiBOB0.4-based electrolyte is thicker than that on the LiFSI-based electrolyte, with higher R_sei indicating greater resistance to Li+ ion passage, which helps suppress side reactions and reduce interface impedance.",Not found
128,TPFPB,Not found,Not found,Not found,Not found
132,TPFPB,Not found,Not found,"The SEI layer is formed through the decomposition of ethylene carbonate in the presence of TPFPB, and it remains stable, suggesting a cross-linked structure that is not dissolved by TPFPB, even after heat-treatment under conditions that dissolve LiF salt.",Not found
134,TTFEB,"TTFEB reduces the content of lithium-containing inorganic species within the cathode-electrolyte interphase (CEI) layer, minimizing the formation of resistive compounds like LiF and Li2CO3, which helps in forming a more stable and less resistive interface.","The battery with 0.5 wt. % TTFEB additive showed improved cycling performance at high voltage (up to 4.8 V), with a discharge capacity of 130 mAh/g after 460 cycles at 1C (14% capacity loss) compared to 90 mAh/g (40% capacity loss) without the additive. At 55°C and C/2 rate, after 100 cycles between 2.0 and 4.8 V, the cell with additive had a discharge capacity of 210 mAh/g (5% loss) and coulombic efficiency above 98%, while without additive it was 169 mAh/g (23% loss) and 88.5% efficiency.",Not found,Not found
135,PEGB,Not found,Not found,Not found,Not found
142,LiBO2,"The LiBO2 coating layer acts as a 'firewall' between the electrolyte and the NMC electrode, inhibiting electrolyte decomposition and reducing interfacial resistance, which contributes to forming a stable interface.","The 2 wt% LBO-coated NMC exhibited a capacity retention of 91.23% after 50 cycles at 4.5V, compared to 53.19% for the uncoated one.","The LiBO2 layer suppresses parasitic reactions at the solid-liquid interface, reducing interface impedance and enhancing stability, similar to SEI effects in anodes.",Not found
143,LiBOB,"The boron-containing additive LiBOB forms a boron- and oxygen-enriched protective CEI that is robust, inhibits unwanted parasitic electrode-electrolyte reactions, enables superior cell reaction kinetics, and suppresses active mass dissolution and electrolyte decomposition.","The battery with LiBOB additive shows improved performance at 4.4 V vs Li/Li+, with capacity retention increasing from 61% to 80% after 500 cycles in a full cell, and better rate capability and cycling stability compared to the baseline without additive.",Not found,Not found
151,"TFPB, TFPBO",Not found,Not found,Not found,Not found
154,LiODFB,Not found,"The battery with the LiTFSI 0.5-LiODFB 0.5-based electrolyte has a capacity retention of 74.4% after 100 cycles at 4.95V, while the battery with LiPF6-based electrolyte has a capacity retention of 42.0%.","The formation of an effective SEI film by LiODFB-based electrolyte, which helps in suppressing side reactions and reducing interface impedance, as indicated by lower RSEI+Rct values in impedance analysis.",20°C
157,LiBOB,Not found,Not found,"The addition of LiBOB promotes the formation of Li2CO3, which is the key component for the formation of a good SEI layer with better protective and passivating functions. It suppresses PC co-intercalation and reduces decomposition of TPFPB, enhancing SEI stability.",Not found
160,hBN,Not found,Not found,Not found,25°C
163,TMB,Not found,"The battery with 0.2% TMB additive maintains a specific discharge capacity of ≥100 mAh/g LCP for up to 30 cycles at C/2 rate between 3.5 and 5.2 V, while without additive it drops below 100 mAh/g LCP in fewer cycles. The voltage mentioned is up to 5.2 V, but performance at 4.5V is not explicitly detailed.","TMB decomposition products, such as BF3 and PF5, may catalyze the polymerization of carbonates to form a protective layer on the electrode, potentially suppressing side reactions and reducing interface impedance, as suggested by improved cycling stability with optimal TMB amounts.",Not found
164,B-PEGMA,Not found,Not found,Not found,Not found
165,LiBO2,Not found,Not found,Not found,Not found
169,Li3BO3,Not found,Not found,Not found,Not found
175,"BCs, LBC, HBC",Not found,Not found,Not found,Not found
183,"LiBF4, LDFOB",Not found,Not found,"The SEI formed with the addition of LiBF4 is thick and loose due to LiF crystals produced by its decomposition, and it cannot prevent Li+ and e- loss or electrolyte decomposition, resulting in shorter storage life. In contrast, the SEI formed with LDFOB is thick and compact due to lithium oxalate formation, efficiently inhibiting electrolyte decomposition and leading to longer storage life.",Not found
186,LiDFOB,Not found,Not found,"LiDFOB can be reduced at about 1.7 V vs Li+/Li and forms a robust protective SEI film on the graphite surface, which effectively protects the negative electrode from degradation, leading to improved capacity retention and low interfacial impedance.",55°C
188,FBN,Not found,Not found,"The FBN additive in the GPE contributes to the formation of a stable SEI layer by suppressing side reactions and reducing interface impedance, as evidenced by smaller interfacial resistance and smoother Li electrode morphology after cycling.",25°C
189,PDA@BN,Not found,"The electrochemical stability window of PDA@BN modified GPE is more than 5.0 V, and the Li/3P5E2L+6%PDA@BN/LiFePO4 cell exhibited a capacity retention rate of 85% after 80 cycles at 0.1 C with a voltage range of 2.7 V to 4.2 V.","PDA@BN improves the interfacial compatibility, suppresses side reactions, and reduces interface impedance, as evidenced by the gentle change in EIS and inhibition of lithium dendrite growth.",30°C
191,LiDFOB,"The boron-containing additive LiDFOB forms a robust F- and B-rich cathode electrolyte interphase (CEI) that suppresses side reactions, reduces interface impedance, and protects the LiNiO2 cathode from structural degradation and Ni dissolution, enabling high capacity retention.","The battery with the LiDFOB additive retains more than 80% of its capacity after 400 cycles at a high charge cut-off voltage of 4.4 V, whereas the battery without the additive shows poor performance with capacity retention dropping to zero after 215 cycles in baseline electrolyte.","The LiDFOB additive contributes to the formation of a stable F- and B-rich solid electrolyte interphase (SEI) on the anode (Li metal or graphite), which suppresses side reactions, reduces interface impedance, and enhances Coulombic efficiency, allowing for stable cycling in full cells.",Not found
192,LBNB,Not found,Not found,Not found,Not found
195,TPFPB,"The tris(pentafluorophenyl)borane (TPFPB) additive prevents excess LiF formation and changes the chemical composition of the EEI layer, characterized by a higher amount of poly(ethylene oxide) oligomer (PEO) species and Li xPO yFz formation. The presence of boron-containing compounds in the EEI layer cannot be excluded, which may be responsible for the increased thickness of the EEI layer.",Not found,Not found,20°C
205,Li[BScB],Not found,Not found,Not found,Not found
216,BNNF,"The BNNF modifying layer protects the PAN-LiClO4-BNNF composite electrolyte from reduction reactions with the lithium metal anode, contributing to the formation of a stable interface, though the exact relationship with CEI film formation is not explicitly detailed in the text.","The PAN-LiClO4-BNNF composite electrolyte can sustain an oxidation voltage up to 4.5 V vs. Li/Li+, and the Li/PBCEB/NCM811 full battery achieves a capacity retention of 68.1% after 350 cycles at 1 C, but specific voltage values for performance comparison are not provided in the context of high voltage beyond 4.5V.","The BNNF modifying layer prevents side reactions and reduces interface impedance with the lithium metal anode, contributing to a stable solid electrolyte interphase (SEI), though the exact interaction mechanism is not fully elaborated.",Not found
225,BN,Not found,"The hybrid electrolyte membrane with BN addition has an increased oxidation potential, with degradation occurring at 4.7 V without BN, 4.8 V with 1% BN, and 5.0 V with 10% BN versus Li+/Li, indicating a larger electrochemical stability window for high-voltage lithium batteries.",Not found,Not found
232,LiDFOB,"LiDFOB additive forms a stable and dense CEI membrane rich in inorganic boron-, fluorine-, and carbonate compounds, suppressing electrolyte decomposition and transition metal dissolution.","The battery with LiDFOB additive shows improved capacity retention, e.g., 83.1% after 200 cycles at 4.4V, compared to 59.9% without additive, and better performance at high voltages like 4.4V and 4.5V.","LiDFOB additive helps form a SEI layer that suppresses side reactions and reduces interface impedance, rich in stable inorganic compounds, though it may be less stable on Li metal due to volume changes.",Not found
236,ADM,"The ADM additive decomposes and participates in the reaction pathway of cathode electrolyte interface (CEI) formation, which are more protective and resistant to electrolyte oxidative decompositions, and more potent in maintaining the structural integrity of nickel (Ni), manganese (Mn), and PF6-. It forms thin, smooth, and interfacial stable films on the CEI of LNMO cathode, reducing resistance and improving electrochemical performance.","The battery with the ADM additive shows a discharge capacity retention of 96% after 25 cycles at 75 mA g-1 and 40°C, while the battery without the additive has a capacity retention of only 15%. The voltage used is 5 V for the LNMO cathode.",Not found,Not found
237,TAB,Not found,Not found,Not found,Not found
239,PP13DFOB,Not found,Not found,"The preferential oxidation of PP13DFOB results in a stable and low impedance solid electrolyte interface (SEI) film on the surface of LiNi0.5Mn1.5O4 (LNMO) cathode, which suppresses transition metal dissolution and Al corrosion at high voltage, leading to excellent electrochemical performance with a discharge capacity of 121.2 mAh g-1 after 100 cycles at 0.5 C.",Not found
252,h-BN,Not found,Not found,Not found,60°C
253,"Li2TB, TFEB","The boron-containing additive Li2TB forms a CEI film that is stable and uniform at room temperature but becomes excessively thick, nonuniform, and unstable at high temperatures (55°C), leading to accelerated electrolyte decomposition and cathode degradation.","The battery with the TFEB additive has a capacity retention rate of 80% after 100 cycles at 55°C, while the base electrolyte has 47% retention. No specific voltage value above 4.5V is mentioned in the context of high voltage performance; the focus is on temperature effects.",Not found,Not found
258,"LiBOB, LiODFB",Not found,Not found,LiODFB can form a more stable SEI film with lower interface impedance on the surface of the anode materials. LiBOB facilitates the formation of solid electrolyte interface (SEI) on the surface of carbonaceous anode materials and can stabilize the graphite structure even in pure propylene carbonate (PC).,Not found
260,"COFs, H-COF-1@10",Not found,Not found,Not found,Not found
264,"LOCB, LBDCB",Not found,Not found,Not found,Not found
271,"LiBSB, LBBB, LBNB, LBBPB",Not found,Not found,Not found,Not found
275,"LiDFOB, LiBOB",Not found,Not found,Not found,Not found
280,LBDOB,Not found,Not found,Not found,Not found
288,LBS,Not found,Not found,Not found,Not found
289,LiBOB,"The introduced boron-based lithium salt (LiBOB) prohibits further oxidation of SPE at the cathode interface, forming a stable and dense CEI membrane.","The battery with LiBOB additive showed improved cycle performance and Coulombic efficiency at high voltage (up to 4.3 V), with initial capacity negatively affected by too much LiBOB, but 5 wt% LiBOB was fixed for optimal performance. Specific capacity retention rates were not detailed for high voltage, but operation was demonstrated at 4.3 V.","Surface modification of graphite by annealing with PVC forms a stable SEI-like layer, suppressing side reactions and reducing interface impedance, which minimizes continuous lithium consumption at the anode.","323 K (approximately 50°C), as the battery achieved 60% capacity retention after 5400 cycles at this temperature."
295,LiBOB,Not found,Not found,"The boron-containing additive (LiBOB) forms a more conductive SEI and includes F-contained components such as LiF, which suppresses dendrite growth and reduces interface impedance.",Not found
296,AFBNNSs,Not found,Not found,"IL-based electrolytes (ILEs) can assist the stabilization of Li anodes through the formation of a robust solid electrolyte interphase (SEI) during cycling, and consequently enhance cycle life and render better safety.",Not found
306,"Not specified in input, but examples are (C6H3F)O2B(C6H3F2), (C6F4)O2B(C6F5)",Not found,Not found,Not found,Not found
308,4FLBDOB,Not found,Not found,Not found,Not found
309,TiPBx,Not found,"The electrolyte with TiPBx (tri-isopropoxy boroxine) showed suppressed anodic irreversible current flow at 5.0 V vs Li/Li+ and stabilized interfacial resistance on LiMn2O4 thin films, with interfacial resistance at 3.95 V after CV at 3.5-5.0 V being 3827 Ω compared to higher values in other electrolytes (e.g., 1047 Ω for original electrolyte without boroxine compounds).","The electrolyte with TiPBx stabilized the lithium plating-stripping reaction on Ni plates, with smaller increases in resistance during repeated charge-discharge cycles and slightly higher coulomb efficiency (62-65%) compared to the original electrolyte (55-60%), indicating suppression of side reactions and reduction of interface impedance.",Not found
314,"PBF, 3F-PBF, 2F-PBF, LUTID, PCN, VPBF, TRIFM",Not found,"The battery with PBF-based additives shows excellent capacity retention and maintains low impedance during high voltage cycling, such as at 4.4V and 4.5V, outperforming cells with VC in some cases, but no specific capacity retention rate like 49.1% is mentioned for comparison.","PBF is reduced at the graphite surface before EC, forming a passivation layer that may be incorporated into the SEI, helping to suppress side reactions and reduce interface impedance, as indicated by improved performance in cycling and storage tests.",Not found
316,BF3-THF,Not found,"The in-situ PTHF membrane was stable up to 5.2 V versus Li/Li+ at RT, with no significant oxidative current observed until 5.2 V, indicating a wide electrochemical window.","The BF3-THF additive acts as an SEI-favorable initiator, forming a robust and thin SEI layer that suppresses side reactions, reduces interface impedance, and prevents dendrite-induced short circuits, as evidenced by controlled decomposition products and improved cycling stability.",Not found
328,LiPAAOB,Not found,Not found,Not found,Not found
335,"TPFPB, THFBuBO",Not found,Not found,Not found,Not found
338,PFPTFBB,Not found,Not found,Not found,Not found
341,"LiBOB, LiODFB",Not found,Not found,Not found,Not found
351,LiBOB,"Reactions between LiBOB and activated oxygen radicals result in the formation of a dense cathode electrolyte interface (CEI) film (~15 nm) containing oxalate, lithium fluoride and alkyl borate species, which contributes to suppression of capacity/voltage decay of LLO.","The battery with the LiBOB additive presents a stable specific capacity of 202 mAh g-1 at 0.5 C and a remarkable capacity retention of 96.4% after 100 cycles between 2.0 V and 4.8 V, significantly outperforming the cathode in baseline electrolyte without LiBOB.",Not found,25°C
359,TEB,Not found,Not found,"TEB is preferentially oxidized compared to the carbonate-based electrolyte, forming a thin and protective SEI layer on the oxide, which protects the oxide from structural destruction and suppresses the decomposition of carbonate-based electrolyte. The SEI layer consists of boron-containing compounds from the oxidation decomposition of TEB, and thus exhibits ionic conductivity, leading to the improved rate capability of the oxide.",Not found
370,LiBOB,Not found,Not found,"Additional water causes parasitic reactions leading to an overgrown and excessive inorganic component-containing SEI film, which harms the Li+ ion conductive characteristics and increases impedance. Specifically, at 10,000 ppm water content, insoluble LiB(C2O4)(OH)2 and B(C2O4)OH products are generated, further increasing impedance.",Not found
377,PBF,Not found,Not found,"PBF reduction does not significantly affect the reduction of EC at higher cell voltage, and it forms a passive SEI at the negative electrode surface. The total heat flow during SEI formation in PBF-containing cells matches the calculated energies in recently published reaction pathways.",Not found
386,BEG-1,Not found,"The electrolyte with BEG-1 has an electrochemical stability window in excess of 5.8 V, compared to 4.5 V for ethylene carbonate alone, and batteries using BEG-1-based electrolytes show excellent charge/discharge characteristics and cyclability, with specific mention of a Li/LiMnO2 battery cycled at 4.3/2.0 V and a C/LiMnO2 battery at 4.4/2.5 V, but no exact capacity retention rate at 4.5V is provided.","BEG-1 forms a stable Li+-conducting, nonpropagating film on the lithium surface, protecting it from corrosion and decomposition, and improves the stability of electrolyte solvents against fresh carbon surfaces, suppressing side reactions and reducing interface impedance.",Not found
387,"LiBOB, LiDFOB","The additives LiBOB and LiDFOB form a protective film on the cathode surface, suppressing electrolyte decomposition and oxidation reactions, which contributes to a stable and dense CEI membrane.","The battery with 0.5 wt.% LiBOB or 0.2 wt.% LiDFOB additive has improved cycling performance at 4.6 V, with capacity retention of 91.8% for LiBOB and 88.2% for LiDFOB after 60 cycles, compared to 78.8% for the battery without additive.","The additives decrease the resistance of the solid-state interface layer (R_SEI) and charge transfer resistance (R_ct), indicating suppression of side reactions and reduction of interface impedance, although the primary focus is on the cathode (CEI) rather than the anode (SEI).",Not found
391,hBN,Not found,"The exfoliated hBN gel electrolyte shows extended electrochemical stability up to 5.3 V (vs Li/Li+) and enables stable operation with high-voltage cathodes like LiNi0.5Mn1.5O4 at 5 V, with minimal degradation and high discharge capacity retention.","The exfoliated hBN gel electrolyte suppresses lithium dendrite growth and stabilizes lithium electrodeposition, leading to more stable solid-electrolyte-interphase (SEI) layers and reduced overpotential in lithium symmetric cells.","The hBN gel electrolyte allows high-rate operation at temperatures up to 175 °C, with stable performance and high capacity retention, but no specific optimal temperature is mentioned; it is effective across a range including room temperature and elevated temperatures."
392,TPB,"A protective cathode electrolyte interface (CEI) film is formed on LiMn2O4 from the preferential oxidation of TPB, which suppresses the oxidation decomposition of the standard electrolyte and stabilizes the interface.","The battery with the additive has a capacity retention of 74% after 200 cycles at 1C under 55°C in the potential range of 3.0-4.5V, compared to 47% without the additive. Additionally, at 4.5V under elevated temperature, the residue current decreases to zero in the TPB-containing electrolyte, indicating suppressed electrolyte decomposition.",Not found,Not found
395,"TPFPB, PFBO, LiDFOB, Trialkyl/triaryl borates and boranes, Boroxines, Trialkoxyboroxines, Borate esters",Not found,Not found,"The boron-based anion receptors facilitate formation of stable SEI at the electrode surfaces, increase thermal stability, suppress side reactions, and reduce interface impedance by solvating and removing insoluble inorganic materials like LiF, Li2O, and Li2O2 from the SEI layers.",Not found
397,PBF,Not found,"The battery with PBF-based additives showed excellent cycling performance at 4.5V and 55°C, with better capacity retention and less impedance growth compared to cells with 2% PES in EC:EMC electrolyte, but cells with PBF had higher gas evolution during cycling.","PBF-based additives are believed to form stable SEI films that limit electrolyte oxidation and impedance growth, as indicated by their excellent cycling performance and lower impedance after long-term cycling at high voltages and temperatures.",Not found
398,LiBOB,Not found,Not found,"LiBOB actively takes part in the formation of the solid electrolyte interphase (SEI), changing the SEI chemistry to contain boric-ester-type compounds and be richer in alkylcarbonates species, resulting in better chemical, electrochemical, and thermal stability, improved cycling stabilities, and self-discharge characteristics at room and elevated temperatures, though with a slight decrease in anode kinetics and power capability.",Not found
401,"LBSB, 3-MLBSB, DCLBSB, TCLBSB",Not found,Not found,Not found,Not found
413,LiBOB,Not found,Not found,"The boron-containing additive (likely LiBOB) contributes to the SEI layer by increasing boron content, which may help in forming a more stable interface, but specific interactions like suppressing side reactions or reducing impedance are not explicitly detailed in the text.",Not found
424,ABAO,Not found,Not found,Not found,Not found
426,S-hBN,Not found,Not found,Not found,Not found
436,LiMOB,Not found,Not found,Not found,Not found
439,"LiDFOB, LiBF4",Not found,Not found,"LiBF2(C2O4) is capable of stabilizing SEI on the surface of graphite anode, but resistance of this SEI layer is much smaller compared with LiBOB, and it provides a stable protection layer on the anode by forming a robust solid electrolyte interface (SEI) on the electrode surface.",Not found
464,MDMB,"The boron-containing additive MDMB forms a robust B-rich CEI on the cathode surface, which facilitates Li+ diffusion, reduces interfacial impedance, and enhances stability by preventing electrolyte decomposition and transition metal leaching.","The battery with MDMB-containing electrolytes (111 and 112) exhibits better stability and lower oxidation currents at high voltages, such as 4.2V, compared to the control electrolyte (110), with specific performance including higher capacity retention and Coulombic efficiency in cycling tests, though no exact voltage value above 4.5V is mentioned; the highest voltage discussed is 4.2V.",Not found,Not found
472,LiDFOB,Not found,Not found,"The boron-containing additive LiDFOB in the PDSLB electrolyte forms a B-rich SEI film at the Al-based anode interface, which enhances interfacial stability by promoting the formation of a dense, thin reaction layer with components like Li-B-O and B-F, improving toughness and reducing interface impedance.",Not found
478,TMSPB,"The boron-containing additive TMSPB forms a low-impedance and stable cathode electrolyte interphase (CEI) on the NMC622 cathode, primarily through its preferential oxidative decomposition, which is faster than that of SA, leading to a thin and robust film that protects the cathode structure and mitigates side reactions.","The battery with the dual-additive electrolyte (including TMSPB) exhibits improved high-voltage stability, with a leakage current test showing reduced side reactions at 4.4V and enhanced cycle stability, retaining 77% capacity after 700 cycles at 55°C compared to 66% for the base electrolyte, but no specific voltage value above 4.4V is mentioned for high-voltage performance.","The boron-containing additive TMSPB modifies the solid electrolyte interphase (SEI) on the graphite anode by reducing impedance and facilitating rapid Li⁺ de-solvation through the formation of conductive B-O bonds, leading to a uniform and thin SEI film that suppresses side reactions and reduces interface impedance.",Not found
480,TPFPB,"It can be preferentially adsorbed on the cathode surface to form a stable (B and F)-rich cathode electrolyte interface film, which greatly suppresses the electrolyte-cathode side reactions and improves the stability of the cathode.","The battery with the additive shows high stability and an ultralong cycle life (up to 1500 cycles), which also presents excellent performance even under high voltage (4.8 V). Specifically, with a higher cut-off voltage of 4.8 V, the battery using BE with 1%TPFPB still shows a high capacity retention of 83.65% after 100 cycles.","The electrophilicity of B atoms in TPFPB enhances the solubility of LiNO3 by 30 times in ester electrolyte to significantly improve the stability of the Li metal anode. Additionally, TPFPB is reduced on the LMA surface to participate in forming an inorganic-rich SEI, which suppresses side reactions and reduces interface impedance.","The Li||NCM811 cell using BE with 1%TPFPB shows excellent performance across a wide temperature range (-30°C to 60°C), with high capacity retentions at various temperatures, but no specific optimal temperature is mentioned; it performs well from -30°C to 60°C."
482,BNNF,Not found,Not found,Not found,60°C
483,DEBA,Not found,"The oxidation voltage of the DEBA electrolyte increases to ~4.52 V, indicating that introduction of DEBA can broaden the electrochemical stability window of the electrolyte and has strong compatibility with the electrode material.","The in-situ electropolymerization of the unsaturated carbon–carbon double bonds in DEBA forms a uniform and ultrathin SEI film on the graphite surface, which inhibits the shedding of electrode particles during electrochemical process. Additionally, the electron-deficient boron element in the boric acid group reacts with electron-rich lithium salt anion PF6- to form B-F bond, which is conducive to reduce concentration polarization and improve the Li+ transport kinetics, and XPS analysis shows DEBA successfully inhibited the decomposition of LiPF6 on the graphite surface, indicating suppression of side reactions and reduction of interface impedance.",Not found
489,LiDFOB,"The boron-containing additive LiDFOB forms a thin, uniform, and boron-rich cathode-electrolyte interphase (CEI) that suppresses electron tunneling and mitigates parasitic cathode-electrolyte reactions, as evidenced by SEM-EDS, TEM, and XPS analyses showing homogenous boron distribution and composition including B-O and B-F species.","The battery with the LiDFOB additive in the 0.5-0.5 G4 electrolyte (0.5 m LiTFSI and 0.5 m LiDFOB in tetraglyme) demonstrates reversible cycling at 4.5 V versus Li/Li+ with a capacity retention of approximately 77% after 200 cycles at C/3, comparable to commercial carbonate electrolytes, and shows no overcharge behavior with minimal current leakage at high voltages.",Not found,Not found
502,"LiDFOB, THFPB","LiDFOB is decomposed to form a B,F-rich CEI with great mechanical strength, and THFPB dissolves low ionic conductivity LiF nanoparticles at the outer CEI to optimize interfacial components, forming an organic-based outer interface and improving compatibility.","The battery with LiDFOB+THFPB additives exhibits a capacity retention of 92.19% after 200 cycles at 1C between 2.0 and 4.8V, compared to 70.96% for the blank electrolyte.","LiDFOB is used as a film-forming additive at the anode side, preferentially reduced to form a uniform and compact SEI, suppressing side reactions and reducing interface impedance.",Not found
