idx,additive,CEI,High_voltage_performance_CEI,SEI,Optimal_operating_temperature
521,BN-CN,"The boron-containing additive BN-CN, through its cyano-functionalized boron nitride nanosheets, promotes the formation of a stable and dense CEI membrane by optimizing the solvation structure of Li+ and enhancing interactions with TFSI- anions, leading to improved interfacial stability and reduced resistance.","The BN-CN@QSE electrolyte exhibits an electrochemical stability window of 4.85 V vs. Li+/Li, and Li||NCM811 full cells with high-loading NCM811 cathodes (8.5 mg cm^-2) show excellent cycling performance, retaining a discharge capacity of 135 mAh g^-1 after 400 cycles at 1 C, indicating good high-voltage performance.","The boron-containing additive BN-CN facilitates the formation of a high-quality SEI by optimizing the solvation structure of Li+, promoting the dissociation of lithium salts, and increasing the proportion of LiF in the SEI, which suppresses side reactions, reduces interface impedance, and homogenizes Li+ fluxes to inhibit dendrite growth.",Not found
530,TPFPB,"TPFPB contributes to the establishment of the cathode electrolyte interphase (CEI) by being oxidized on the cathode surface, forming components such as LiF and Li2CO3 that are electronically insulating and mechanically stable, effectively preventing continuous interfacial side reactions.","The CPE-3 electrolyte, with TPFPB additive, exhibits stable electrochemical windows exceeding 4.8 V, enabling pairing with high-voltage cathodes like NCA. The NCA/CPE-3/Li cell shows favorable rate capability with discharge capacities of 207.5 mAh g⁻¹ at 0.1 C and 157.9 mAh g⁻¹ at 2 C, and better cycle stability compared to cells without the additive.","TPFPB facilitates the formation of a stable and even SEI film on the lithium anode, composed of LiF, Li2O, Li2CO3, and BxOy, which suppresses side reactions, reduces interface impedance, and enables homogeneous lithium deposition, leading to improved cycling stability and critical current densities up to 1 mA cm⁻².","The TPFPB-functionalized CPE operates effectively across a wide temperature range from -15°C to 60°C, with ionic conductivities of 4.09 × 10⁻⁵ S cm⁻¹ at -15°C and 6.71 × 10⁻⁵ S cm⁻¹ at 60°C for specific formulations, and maintains excellent battery performance including high discharge capacities and cycle stability at these temperatures."
531,LiB5AB,Not found,Not found,"The boron moieties in B-SIPE16 contribute to the construction of the SEI, forming a composite structure of organic and inorganic substances that is stable and has high ionic conductivity, with components including LiF and B-containing species.",Not found
538,TPFPB,"TMSPi with the highest HOMO in BGPE contributes to the formation of a stable and homogeneous CEI film, which inhibits the oxidative decomposition of the electrolyte under high voltage and ensures the stability of the cathode structure.","The NCM/BGPE/Li cell exhibits a superior capacity retention of 82% after 250 cycles at 0.5 C in the voltage range of 3-4.3 V, while the NCM/LE/Li cell presents a failure state after 90 cycles.","TPFPB with the lowest LUMO is involved in the construction of a composite organic-inorganic SEI rich in B-O and LiF components, which inhibits the growth of Li dendrites and improves the stability of the Li metal anode.",Not found
548,B-HEMA,Not found,"The all-solid-state Li||AMPE||LiCoO2 cell achieves a cycle life of 700 cycles at 4.40V/0.20C and 200 cycles at 4.50V/0.50C, with a discharge specific capacity of ~180 mAh g⁻¹ at 0.20C for the 4.50V cell.","The strong interaction between the electron-deficient B and the TFSI⁻ promotes TFSI⁻ decomposition, enabling the formation of a stable anion-derived mosaic-like solid electrolyte interphase (SEI) with Li₂S/LiSO₂F in the outer layer and LiF in the inner layer, which suppresses side reactions and reduces interface impedance.",Not found
549,LiDFOB,Not found,Not found,Not found,Not found
563,BNNFs,Not found,"The current of PEO-based SPEs with BNNFs additions did not climb until the voltage was higher than 4.75 V, indicating a significant expansion of the electrochemical stability window, and they can meet the requirements of most high-voltage Li batteries.",Not found,Not found
571,BRC,Not found,Not found,"The boron atoms in B-GPE can complex with anions through Lewis acid-base interactions, reducing concentration polarization and promoting uniform deposition of metal cations, which stabilizes the anode/electrolyte interface and forms a stable SEI film. Additionally, the SEI is mainly composed of decomposed organic materials and a large amount of inorganic material, as confirmed by XPS analysis.",Not found
585,BN,Not found,Not found,Not found,Not found
632,FBA,Not found,Not found,"The FBA additive promotes the formation of a stable SEI enriched with inorganic species like LiF and Li3N, which has high mechanical strength, high Li+ ion conductivity, and electronic insulation, effectively suppressing side reactions and reducing interface impedance.",Not found
635,NhBN,Not found,"The BN-50 sample exhibits a broad electrochemical stability window until 5V with no decomposition peak, indicating it can be applied to high-voltage cathodes.",Not found,Not found
705,BPC,Not found,Not found,"The boron moiety in BPC could increase the lithium ion transference number compared to the corresponding boron-free SPE due to the anion-trapping capability of boron atom. The formation and growth of lithium dendrites were effectively suppressed by the anion-trapping capability and mechanically stable cross-linked structure of the SPE. Additionally, XPS analysis showed reduced decomposition of TFSI anions on the lithium metal surface in cells with CSPE-B60, indicating a more stable SEI layer with suppressed side reactions and reduced interface impedance.",60°C
717,"LiDFOB, LiBF4, LiFSI, LiPF6, LiAsF6, LiBPh4",Not found,Not found,"Suppressing side reactions and reducing interface impedance.",25°C
